id,name,type,energy,protein,fat,sugar,pepper,all_veg,money,scores
1,红枣银耳雪梨汤,2,67,2.31,0.23,1,0,1,4,1
2,白菜豆腐,1,109,11.18,6.28,0,0,1,6,1
3,烤冷面,1,499,21.82,9.86,0,0,1,6,1
4,炝炒土豆丝,1,120,2.14,5.79,0,1,1,6,1
5,蛋炒饭,0,245,7.57,11.75,0,0,1,8,1
6,湘味豆腐,1,122,9.48,6.56,0,0,1,7,1
7,中式香菇炒饭,0,225,8.45,8.36,0,0,1,12,1
8,尖椒鸡蛋,1,166,12.31,10.61,0,1,1,10,1
9,番茄日本豆腐,1,98,9.96,6.18,0,0,1,12,1
10,西红柿鸡蛋面,3,275,13.35,8.19,0,0,1,7,1
11,油泼面,3,459,14.96,8.68,0,0,1,8,1
12,炸酱面,3,268,10.35,11.39,0,0,1,10,1
13,岐山臊子面,3,316,8.23,11.57,0,1,0,12,1
14,辣子鸡拌面,3,278,15.66,9.18,0,1,0,14,1
15,藤椒五谷渔粉,3,462,15.8,19.2,0,1,0,15,1
16,番茄五谷渔粉,3,462,15.8,19.2,0,0,0,15,1
17,麻辣五谷渔粉,3,462,15.8,19.2,0,1,0,15,1
18,乌鸡米线,3,307,6,14.6,0,0,0,16,1
19,小锅康师傅红烧方便面,3,483,7.5,24.1,0,0,0,10,1
20,小锅康师傅老坛酸菜面,3,483,7.5,24.1,0,1,0,10,1
21,小锅骨汤米线,3,297,10.2,1,0,0,0,12,1
22,小锅土豆粉,3,405,7.5,7.17,0,0,0,13,1
23,杭帮肥牛饭,3,236,8.7,8.1,0,0,0,19,1
24,杭帮鸡腿饭,3,129,9.92,4.28,0,0,0,14,1
25,杭帮五花肉饭,3,208,5.2,7.9,0,0,0,17,1
26,杭帮肥羊饭,3,187,5.92,9.55,0,0,0,12,1
27,木耳炒快菜,1,91,6.56,5,0,0,1,6,1
28,鸭血粉丝汤,1,190,12.99,24.11,0,0,0,12,1
29,咸蛋黄烧豆腐,1,227,11.9,14.6,0,0,1,8,1
30,鹌鹑蛋烧肉,1,431,7.31,40.31,0,0,0,14,1
31,酸汤黑鱼片,1,229,32.24,6.66,0,1,0,16,1
32,板栗烧鸡,1,237,22.07,13.49,0,0,0,13,1
33,酸汤肥牛,1,407,35.76,23.06,0,1,0,16,1
34,土豆烧排骨,1,226,12.2,12.61,0,0,0,18,1
35,杂粮饭,0,130,4.66,0.68,0,0,1,1,1
36,成都冒鸭,1,244,14.19,20.3,0,1,0,14,1
